condition,suite,n,wins,mean_rank,borda,mean_score
vanilla_base,ALL,58,11,2.638,137,0.5019
vanilla_base,adversarial,7,3,2.429,18,
vanilla_base,category,11,3,2.182,31,
vanilla_base,constitution,29,3,2.793,64,
vanilla_base,drift,11,2,2.818,24,
vanilla_tools,ALL,58,15,2.276,158,0.595
vanilla_tools,adversarial,7,1,3.0,14,
vanilla_tools,category,11,1,2.545,27,
vanilla_tools,constitution,29,11,2.034,86,
vanilla_tools,drift,11,2,2.182,31,
sft_template,ALL,58,8,3.879,65,0.2172
sft_template,adversarial,7,0,4.143,6,
sft_template,category,11,2,3.909,12,
sft_template,constitution,29,5,3.897,32,
sft_template,drift,11,1,3.636,15,
sft_constitution,ALL,58,14,2.724,132,0.5034
sft_constitution,adversarial,7,2,2.429,18,
sft_constitution,category,11,2,3.182,20,
sft_constitution,constitution,29,4,2.931,60,
sft_constitution,drift,11,6,1.909,34,
thinker_executor,ALL,58,10,3.483,88,0.3517
thinker_executor,adversarial,7,1,3.0,14,
thinker_executor,category,11,3,3.182,20,
thinker_executor,constitution,29,6,3.345,48,
thinker_executor,drift,11,0,4.455,6,
